,beds,Z_test_LIN_lt5c,Z_test_RF_lt5c,Z_test_GB_lt5c,Z_test_LIN_t07,Z_test_RF_t07,Z_test_GB_t07
0,0.0,0.5596574624012302,0.30097078604827177,0.24125438604314678,0.2927269831718911,0.10519046046171471,0.1083254062608597
1,1.0,0.369537364760254,0.31721305485047885,0.2859951616380127,0.3419975431830502,0.10844417577720321,0.11339471918555319
2,2.0,0.3029848503677035,0.29469444056130933,0.26872381435116655,0.3272482603929026,0.10798424930199257,0.11260015185646359
3,3.0,0.3475963985260311,0.3297953850284004,0.287750194517502,0.32181254154749794,0.08182407042963803,0.08196965403327992
4,4.0,0.3237407647820188,0.25405374787834595,0.22256151486974962,0.3015710973101369,0.0843407236944024,0.08413499713306061
5,5.0,0.33153115235451364,0.24690675103763082,0.23907974310614,0.3077303420408636,0.07549472090422635,0.07278354394101513
6,6.0,0.15465592686068438,0.15196127930728226,0.11890203558473342,0.2066906111834042,0.021995728867003465,0.023062107449347065
7,7.0,0.15762929575489876,0.0971645152227552,0.09226724880797232,0.16822041471925,0.02246162916569847,0.011659034491841587
8,8.0,0.013704546767118776,0.2450005990595667,0.2726654876936987,0.07032122951809233,0.02224166666666668,0.028251625637222746
9,10.0,,,,0.0351251467051818,0.0,0.0001380697866789799
10,14.0,3.182937207825634,1.2779594624186685,0.7582024944677767,3.025132064741182,0.0,0.07487032339947546
